Text,Position X,Position Y
Brad,1440.98,-7010.92
Mystery solver,2112.65,-7010.92
Party animal,1789.73,-6998.52
Recipe follower,2384.32,-6998.52
Early bird,2686.39,-6998.52
Music maker,2981.5,-6998.52
Joe,1440.98,-6784.61
Sweet tooth,1779.73,-6763.51
Night owl,2095.78,-6763.51
Early bird,2406.09,-6763.51
Lifelong learner,2981.5,-6763.51
People person,2696.39,-6754.61
Dolly,1440.98,-6563.89
Music maker,1779.73,-6548.93
Party animal,2696.39,-6548.93
Book worm,2087.65,-6533.61
Recipe follower,2406.09,-6533.61
Beach bum,2981.5,-6533.61
Sue,1440.98,-6336.52
Sweet tooth,1779.73,-6323.56
Lifelong learner,2412.24,-6323.56
Party animal,3000.77,-6323.56
People person,2087.65,-6315.43
Home body,2696.39,-6315.43
Zion,1440.98,-6105.52
Early bird,1771.72,-6105.52
Beach bum,2087.65,-6105.52
Lifelong learner,2412.24,-6105.52
Party animal,2696.39,-6105.52
Home body,3000.77,-6105.52
Daniel,1440.98,-5900.3
Recipe follower,3000.77,-5885.27
Music maker,1771.72,-5875.61
Sweet tooth,2087.65,-5875.61
Night owl,2406.09,-5875.61
Book worm,2696.39,-5875.61
Zion,1431.93,-5673.94
People person,1771.72,-5673.94
Music maker,2406.09,-5673.94
Party animal,2696.39,-5673.94
Beach bum,3000.77,-5673.94
Night owl,2087.65,-5659.62
Tracy,1431.93,-5448.62
Mystery solver,1779.73,-5448.62
Sweet tooth,2087.65,-5448.62
Lifelong learner,2396.33,-5448.62
Recipe follower,2696.39,-5448.62
Early bird,3000.77,-5448.62
